#lat lon tc strike dip rake M0 Mw depth
-42.611 173.062 19 236 68 177 0.729 7.18 10.5
-42.380 173.417 26 258 44 141 1.778 7.43 10.5
-42.050 173.884 72 230 49 177 3.541 7.63 19.5
-42.153 173.866 66 196 17 83 3.440 7.62 19.5
